IDs    | HEX          |NAMES

1000 | e8030000 | BP
1001 | e9030000 | Silver
1002 | ea030000 | Health
1003 | eb030000 | EXP
1004 | ec030000 | Activity
1005 | ed030000 | 
1006 | ee030000 | UC
1007 | ef030000 | 
1008 | f0030000 | Vitality Energy
1009 | f1030000 | Clan Points
1010 | f2030000 | Clan Funds
1011 | f3030000 | 现金
1012 | f4030000 | Q币
1013 | f5030000 | 赛季通行证奖章
1014 | f6030000 | Activity
1015 | f7030000 | 军团功勋值
1016 | f8030000 | Activity
1017 | f9030000 | Activity
1018 | fa030000 | Weekly Activity
1019 | fb030000 | Roommate Rapport
1021 | fd030000 | 
1022 | fe030000 | 
1023 | ff030000 | 
1024 | 00040000 | Theme Token
1025 | 01040000 | Treasure Coin
1026 | 02040000 | Evo EXP
1080 | 38040000 | WOW Play EXP
1081 | 39040000 | WOW Creation Token
1082 | 3a040000 | WOW Weekly Activity
1083 | 3b040000 | WOW Creator EXP
1084 | 3c040000 | Challenge Points
1085 | 3d040000 | Advanced Wonder Season Points
1098 | 4a040000 | Mission Activity Points
1099 | 4b040000 | RP Points
1100 | 4c040000 | Achievement Points
1101 | 4d040000 | Donkatsu Medal
1102 | 4e040000 | Challenge Coin
1103 | 4f040000 | Battle Coin
1104 | 50040000 | Golden Fragment
1105 | 51040000 | Recall Token
1109 | 55040000 | AG
1110 | 56040000 | Choice Reward Pack
1111 | 57040000 | Talent Coin
1112 | 58040000 | Reward Selection Pack A
1113 | 59040000 | Reward Selection Pack B
1114 | 5a040000 | Reward Selection Pack C
1115 | 5b040000 | Returner Medal
1116 | 5c040000 | Reward Selection Pack A
1117 | 5d040000 | Reward Selection Pack B
1118 | 5e040000 | Prize Path Point
1119 | 5f040000 | Prize Path Point
1120 | 60040000 | Prize Path Point
1121 | 61040000 | Bonus Pass Points
1122 | 62040000 | Prize Path Point
1123 | 63040000 | Prize Path Point
1124 | 64040000 | Casual Points
1125 | 65040000 | Advanced Casual Points
1126 | 66040000 | Prize Path Point
1127 | 67040000 | Prize Path Point
1201 | b1040000 | Classic Energy
1202 | b2040000 | Casual Energy
1203 | b3040000 | Royale Energy
1204 | b4040000 | Clan Activity Points
1205 | b5040000 | 
1206 | b6040000 | MC
1207 | b7040000 | Winter Coin
1208 | b8040000 | Home Coin
1209 | b9040000 | Elite Home Coin
1210 | ba040000 | Craftsman's Key
1220 | c4040000 | Frost Point
1221 | c5040000 | Friendship points
1230 | ce040000 | Parking Token
1231 | cf040000 | 
1232 | d0040000 | 
1233 | d1040000 | 
1234 | d2040000 | 
1235 | d3040000 | 
1236 | d4040000 | 
1237 | d5040000 | 
1238 | d6040000 | 
1239 | d7040000 | 
1240 | d8040000 | 
1241 | d9040000 | 
1242 | da040000 | 
1243 | db040000 | 
1244 | dc040000 | 
1245 | dd040000 | 
1246 | de040000 | 
1247 | df040000 | 
1248 | e0040000 | 
1249 | e1040000 | 
1250 | e2040000 | Exclusive Voucher
1251 | e3040000 | Exclusive Voucher
1252 | e4040000 | Exclusive Voucher
1253 | e5040000 | Exclusive Voucher
1254 | e6040000 | Exclusive Voucher
1255 | e7040000 | Exclusive Voucher
1256 | e8040000 | Exclusive Voucher
1257 | e9040000 | Exclusive Voucher
1258 | ea040000 | Exclusive Voucher
1259 | eb040000 | Exclusive Voucher
1260 | ec040000 | Exclusive Voucher
1261 | ed040000 | Exclusive Voucher
1262 | ee040000 | Exclusive Voucher
1263 | ef040000 | Exclusive Voucher
1264 | f0040000 | Deal Voucher
1265 | f1040000 | Deal Voucher
1300 | 14050000 | Nusa Coin
1301 | 15050000 | Metro Cash
1302 | 16050000 | Talent Points
1303 | 17050000 | Cyber Points
1304 | 18050000 | Inventory capacity
1305 | 19050000 | Fame
1310 | 1e050000 | Undercover Agent ID
1311 | 1f050000 | Vera's Favorability
1312 | 20050000 | Ian's Favorability
1313 | 21050000 | Katia's Favorability
1314 | 22050000 | Free Mystery Shop Refreshes
1315 | 23050000 | Katia's Support Lv. 1
1316 | 24050000 | Katia's Support Lv. 2
1317 | 25050000 | Katia's Support Lv. 3
1318 | 26050000 | 
1319 | 27050000 | Metro Royale Honor
